method,stage,dz_kspace,dx_kspace,dz_bscan,dx_bscan,dz_diff,dx_diff
backprop,Pushing,-0.9174439402751542,-0.17206199466410754,-1.9173063899469212,-0.3278804509877235,0.999862449671767,0.15581845632361596
gazdag,Pushing,-1.6956159527258365,-0.30510666118286894,-1.885512200166041,-0.21928174099682973,0.1898962474402044,-0.08582492018603921
kirchhoff_bp,Pushing,-1.7347321207690583,-0.29939616855811013,-1.7110517379108818,-0.24522266229667078,-0.02368038285817642,-0.05417350626143935
backprop,Chasing,-2.3841090517869286,-0.34855433613534315,-1.2547502190788158,-0.11173607127274651,-1.1293588327081128,-0.23681826486259663
gazdag,Chasing,-1.1504219953010921,-0.12957542650915382,-1.3519775161983492,-0.05425234396928058,0.20155552089725703,-0.07532308253987324
kirchhoff_bp,Chasing,-1.3085889056430438,-0.2003775988870825,-0.9854482478194077,-0.11277236924709721,-0.3231406578236361,-0.0876052296399853
backprop,Waiting,0.40476838642889323,0.021233530573495682,0.5452349335131178,0.09717393268475363,-0.14046654708422457,-0.07594040211125795
gazdag,Waiting,0.41046187880043766,0.03997638461457057,0.6620198617514959,0.02081507291904293,-0.2515579829510582,0.019161311695527643
kirchhoff_bp,Waiting,0.7042364574971441,0.08468530470618349,0.6115850371297399,0.004803614629314182,0.09265142036740426,0.07988169007686931
backprop,Pulling,-0.16295213387104404,-0.0008350073226143007,0.8299226846013067,0.35036268942114773,-0.9928748184723507,-0.35119769674376206
gazdag,Pulling,0.5472356073382904,0.16583559817278198,0.4588029868451261,0.10244709247258008,0.08843262049316425,0.06338850570020191
kirchhoff_bp,Pulling,0.3613418135031646,0.05375845704717217,0.012419815159225578,0.03411075157232967,0.348921998343939,0.0196477054748425
